Publication Date,Center,Recommendation,Title,Type,Page URL,File URL,Web Article URL,File Type,File Size,File Size (bytes),File Status,Has Hosted File
2026-05-22,Victim Studies,Accessible,ILLINOIS DOMESTIC VIOLENCE FATALITY REVIEW COMMITTEE: 2026 BIENNIAL REPORT,annualReport,https://icjia.illinois.gov/about/publications/illinois-domestic-violence-fatality-review-committee-2026-biennial-report/,https://agency.icjia-api.cloud/uploads/2026_dvfrc_biennial_report_7641e785ea.pdf,,PDF,397.4 KB,406979,200,yes
2026-04-24,Victim Studies,Remediate,2025 Illinois Family Violence Coordinating Council Strategic Plan Summary,researchReport,https://icjia.illinois.gov/about/publications/2025-illinois-family-violence-coordinating-council-strategic-plan-summary/,https://researchhub.icjia-api.cloud/uploads/2025%20IFVCC%20Strategic%20Plan%20Summary_04242026_Final-260424T14563773.pdf,https://icjia.illinois.gov/researchhub/articles/2025-illinois-family-violence-coordinating-council-strategic-plan-summary,PDF,1.2 MB,1206406,200,yes
2026-04-17,Victim Studies,Remediate,Illinois Domestic Violence Fatality Review Committee: 2025 Annual Report,annualReport,https://icjia.illinois.gov/about/publications/illinois-domestic-violence-fatality-review-committee-2025-annual-report/,https://agency.icjia-api.cloud/uploads/2025_DVFRC_Annual_Report_05042026_112eaadb82.pdf,https://icjia.illinois.gov/researchhub/articles/illinois-domestic-violence-fatality-review-committee-2025-annual-report,PDF,613.0 KB,627710,200,yes
2026-04-10,Victim Studies,Remediate,2025 Task Force on Missing and Murdered Chicago Women Annual Report,article,https://icjia.illinois.gov/about/publications/2025-task-force-on-missing-and-murdered-chicago-women-annual-report/,https://researchhub.icjia-api.cloud/uploads/2025_MMCW_Annual_Report_042926-260429T13053817.pdf,https://icjia.illinois.gov/researchhub/articles/2025-task-force-on-missing-and-murdered-chicago-women-annual-report,PDF,2.4 MB,2550360,200,yes
2026-03-25,CJRE,Archive,Co-Responder Program Overview: Waukegan ? Community Outreach Group,researchBulletin,https://icjia.illinois.gov/about/publications/co-responder-program-overview-waukegan-community-outreach-group/,,https://icjia.illinois.gov/researchhub/articles/co-responder-program-overview-waukegan---community-outreach-group-cog/,,,,,no
2026-03-25,CJRE,Archive,Co-Responder Program Overview: Springfield ? Memorial Behavioral Health,researchBulletin,https://icjia.illinois.gov/about/publications/co-responder-program-overview-springfield-memorial-behavioral-health/,,https://icjia.illinois.gov/researchhub/articles/co-responder-program-overview-springfield---memorial-behavioral-health-mbh/,,,,,no
2026-03-25,CJRE,Archive,Co-Responder Program Overview: Peoria ? Social Services Unit,researchBulletin,https://icjia.illinois.gov/about/publications/co-responder-program-overview-peoria-social-services-unit/,,https://icjia.illinois.gov/researchhub/articles/co-responder-program-overview-peoria--social-services-unit-ssu/,,,,,no
2026-03-25,CJRE,Archive,Co-Responder Program Overview: East St. Louis – Embrace,researchBulletin,https://icjia.illinois.gov/about/publications/co-responder-program-overview-east-st-louis-embrace/,,https://icjia.illinois.gov/researchhub/articles/co-responder-program-overview-east-st-louis--embrace/,,,,,no
2026-03-20,CVPIR,Remediate,"Restore, Reinvest, and Renew (R3) Cohort One Scale and Reach Report",article,https://icjia.illinois.gov/about/publications/restore-reinvest-and-renew-r3-cohort-one-scale-and-reach-report/,https://researchhub.icjia-api.cloud/uploads/ICJIA%20R3%20Cohort%20One%20Phase%202%20Report%20-%20Scale%20and%20Reach%20Final-260429T20262641.pdf,https://icjia.illinois.gov/researchhub/articles/restore-reinvest-and-renew-r3-cohort-one-scale-and-reach-report,PDF,2.7 MB,2787942,200,yes
2026-02-05,CCJDA,Remediate,2025 ILLINOIS DEATH IN CUSTODY ANNUAL REPORT,annualReport,https://icjia.illinois.gov/about/publications/2025-illinois-death-in-custody-annual-report/,https://agency.icjia-api.cloud/uploads/2025_Death_in_Custody_FINAL_02f1b7de08.pdf,,PDF,1.5 MB,1573440,200,yes
2026-01-12,Comms,,ILLINOIS CRIMINAL JUSTICE INFORMATION AUTHORITY FISCAL YEAR 2025 ANNUAL REPORT,annualReport,https://icjia.illinois.gov/about/publications/illinois-criminal-justice-information-authority-fiscal-year-2025-annual-report/,https://agency.icjia-api.cloud/uploads/SFY_25_Annual_Report_Final_67436fc6ff_ba00340a2f.pdf,,PDF,3.2 MB,3370234,200,yes
